"","HAADF","O","Cr","Fe","Ni","Pb","Bi"
"Position","Intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity"
"m","Counts","Counts","Counts","Counts","Counts","Counts","Counts"
4.395270e-09,2.122423e+04,1.342895e-01,2.014499e-01,1.603351e+00,1.050461e-01,1.380893e-02,9.323209e-03
4.448225e-09,2.123606e+04,1.318813e-01,1.897464e-01,1.578154e+00,9.350970e-02,9.769543e-03,7.617220e-03
4.501180e-09,2.120016e+04,1.337637e-01,1.974753e-01,1.580386e+00,7.531798e-02,1.037075e-02,1.070097e-02
4.554135e-09,2.129285e+04,1.403172e-01,2.124697e-01,1.583046e+00,7.282454e-02,9.455786e-03,1.169287e-02
4.607090e-09,2.128392e+04,1.500772e-01,2.253797e-01,1.611751e+00,8.600628e-02,1.020246e-02,6.599815e-03
4.660045e-09,2.123454e+04,1.780012e-01,2.393706e-01,1.642097e+00,9.638516e-02,1.522203e-02,2.748807e-03
4.713000e-09,2.132195e+04,2.006279e-01,2.382573e-01,1.651693e+00,9.791270e-02,1.762163e-02,2.426616e-03
4.765955e-09,2.127419e+04,1.940090e-01,2.025581e-01,1.678453e+00,9.051838e-02,1.730868e-02,2.086371e-03
4.818910e-09,2.135231e+04,1.680944e-01,1.763809e-01,1.693035e+00,6.975290e-02,1.668731e-02,1.509248e-03
4.871865e-09,2.127536e+04,1.472552e-01,1.913220e-01,1.702052e+00,6.341526e-02,1.230731e-02,1.730623e-03
4.924820e-09,2.124480e+04,1.548268e-01,2.169350e-01,1.680520e+00,7.018653e-02,8.705815e-03,2.781944e-03
4.977776e-09,2.125387e+04,1.655092e-01,2.057710e-01,1.674391e+00,7.137222e-02,7.883464e-03,3.657566e-03
5.030731e-09,2.124781e+04,1.654420e-01,1.806445e-01,1.658015e+00,8.576079e-02,1.121718e-02,2.908975e-03
5.083686e-09,2.130339e+04,1.585637e-01,1.841344e-01,1.550569e+00,1.105861e-01,1.656010e-02,4.009788e-03
5.136641e-09,2.127577e+04,1.699124e-01,2.015076e-01,1.490020e+00,1.267370e-01,1.801322e-02,1.172420e-02
5.189596e-09,2.125688e+04,1.852122e-01,2.172371e-01,1.567505e+00,1.537982e-01,1.630664e-02,2.137212e-02
5.242551e-09,2.122588e+04,1.779395e-01,2.226625e-01,1.595620e+00,1.733808e-01,1.822569e-02,2.309456e-02
5.295506e-09,2.126795e+04,1.662713e-01,2.165034e-01,1.530393e+00,1.550530e-01,2.197613e-02,2.055622e-02
5.348461e-09,2.130298e+04,1.520865e-01,1.924773e-01,1.558507e+00,1.367334e-01,2.408948e-02,1.548759e-02
5.401416e-09,2.132955e+04,1.580172e-01,1.677406e-01,1.634814e+00,1.233316e-01,2.448282e-02,1.112876e-02
5.454371e-09,2.142900e+04,1.844466e-01,1.723790e-01,1.664386e+00,1.146840e-01,1.722934e-02,1.452531e-02
